interaction_type,event,target_text,response_text,label
Quote,Santa Fe Shooting,Publix is a nra sellout In Parkland we will have a die in the Friday the 25th before memorial day weekend Starting at 4pm for 12 min inside our 2 Publix stores Just go an lie down starting at 4 Feel free to die in with us at as many other Publix as possible ,Antilabor David Hogg boycotting employeeowned publix is just wrong I support small business and the hard working owner operators Show your support for labor and go shop there ,1
Quote,Santa Fe Shooting,ericswalwell is a liar and disgraceful for using the name of Law Enforcement to further his unconstitutional antrights agenda ,,3
Quote,Santa Fe Shooting,A man was shot at St Brendans Primary school in Craigavon in 2016 so not true ,,1
Quote,Santa Fe Shooting,We’re not attacking the Second Amendment We’re putting the safety of our children FIRST ,Liar You promote killing them in the womb ,1
Quote,Santa Fe Shooting,Really The NRA came in and shot up another school Bullshit Another head case shot it up Who let the shooter get the gun and ammo Why did he do it ,,1
Quote,Santa Fe Shooting,NRA spokesperson Dana Loesch thinks kids should pay for their own security at school ,What is wrong with this woman She is an idiot ,3
Quote,General Terms,Who would win in a dance battle RT for Ciara Like for Beyoncé ,You guys need to stop lying Ciara would body Bey in her sleep ,1
Quote,General Terms,Got top 8 winners with Superman and Fate The carried by Starfire lyfe ,Why lie You literally used Starfire against me omg ,1
Quote,General Terms,"Under standard selfdefense laws someone who’s facing a dangerous threat must retreat if it’s safe to do so with use of force only legally available as a last resort This changes dramatically in states with ""stand your ground"" laws ",I don’t care what the law says shooting someone over a parking spot is wrong ,6
Quote,General Terms,Stick with the girl who has been down for u since day one The one who understands your past and your present The girl who cried herself to sleep whenever u did her wrongand still forgive u The girl who has other guys attention but only wants your love and affection AKA me ,are you done being a pick me girl pls don’t romanticise guys doing girls wrong and them forgiving their mistakes lmao this shit is toxic and will break you ,1
Quote,General Terms,Ain’t yelling cut when it’s shooting time Signed up it’s recruiting time Big wigs with a suit and tie and them big things got two inside ,FUCK WRONG WITH THESE HOW NIGGAS ION DO COKE ION BLOW NIGGAS ION TELL NIGGAS I SHOW NIGGAS AND ITS NEVER LESS THSN LIKE FOUR NIGGAS ,1
Quote,Santa Fe Shooting,"Miss me with that ""quiet"" bullshit ",,2
Quote,Santa Fe Shooting,"""We need to do more than just pray for the victims and their families"" In wake of Texas high school shooting Gov Abbott pledges action to ensure the tragedy is not repeated ","I call bullshit GregAbbottTX you have an A rating from the NRA This is the new ""thoughts and prayers"" statement from complicit members of the GOP enough never forget FuckTheNRA ",1
Quote,Santa Fe Shooting,Just 2 months ago you were a lifelong Republican fomenting the same white male supremacist BS so save it ,,3
Quote,Iran Deal,When you discover PowerPoint size 500 font and Iran’s secret nuclear files all at the same time ,Everybody knows governments don’t lie duh 🙄 Take Israel for example Israel never lies ,6
Quote,Iran Deal,"ISRAELS NETANYAHU SAYS ISRAEL CAN REVEAL ""NEW AND CONCLUSIVE PROOF"" THAT IRAN HAS BEEN HIDING NUCLEAR WEAPONS ACTIVITY ",Why does anyone believe this shit anymore They are lying to get the unfortunate military members into another war and to continue to keep us all in fear and paying for their evil ,1
Quote,Iran Deal,"Trump Pulling out of Iran deal sends North Korea the ""right message"" ",How long is the free press going to let Trump speak in false inversions like this ,2
Quote,Iran Deal,"net anyah u ' s power point demo on the evils of Iran looks like a pyramid scheme presentation done in the ballroom at the local Sheraton where people pay 100 quid to learn the secrets of a real estate ""guru"" ",net anyah u liar liar yarmecule on fire ,3
Quote,General Terms,I heard she’s lying ,,2
Quote,General Terms,Not a good luck for Mnuchin Interesting time to be to be changing requirements for NRA What is wrong with these people ,,5
Quote,General Terms,Stop worrying about nodeal Brexit Youll be fine excludes people who need food medicine cancer treatment want to fly anywhere work in manufacturingfarming have a job with a company that exports or imports aren’t rich or don’t run a hedge fund hoping for Brexit chaos ,“Project Pathetic” This sums up remoaner’s they will buy into any fairy tail to justify the fact they voted remain Correct me if I’m wrong but I don’t think we buy bananas or Norwegian salmon from the EU Somehow they are fresh though ,2
Quote,General Terms,Nixon attacked the independent counsel labeled the investigation a “witch hunt” and proclaimed his innocence for 26 months till one day he wasn’t “innocent” any more History is repeatin’ itself ,maga maga 2 0 1 8 maga 2 0 2 0 i f the maga clowns had any knowledge of history besides what they ordered for dinner yesterday they would be screaming for the traitors head Instead they continue to think that the lying traitor is somehow being put upon by the hateful left 12 ,3
Quote,General Terms,Some time ago Republicans on our committee released a declassified memo that omitted and distorted key facts in order to mislead the public and impugn the integrity of the FBI We can now tell you what they left out ,You dont have to tell us anything The Fisa warrant on Carter Pge was based on a phony fake unverified dossier paid for by Hillary Clinton You know that People can read the Fisa app for themselves BTW Not interested in your spin on it ,2
Quote,Iran Deal,A federal judge in New York orders Iran to pay billions to relatives of 911 victims even though the 911 Commission found no direct evidence of Iranian support via ABC ,“Everything is about power” Underwood was wrong sex is only supporting ,6
Quote,Iran Deal,Trump says Iran has a nuclear weapons program Hes lying via MotherJones ,Well he got that from Israels lying leader misreading this time maybe but who knows for sure Maybe Bibi doesnt lie as much as tRump but he is acquainted with lying and hes a pot stirrer ,3
Quote,Iran Deal,Iran Gains Then Loses Nuclear Weapons Program Thanks to White House ‘Clerical Error’ ,This is how Trump and his incompetent idiots will start a war Totally unacceptable Clerical errorWhat BS ,1
Quote,Iran Deal,"UN nuclear agency responds to Netanyahu ""No credible indications"" of nuclear activity in Iran after 2009 ",Watch trump will lie about this ,6
Quote,Iran Deal,Honored to meet with the Israeli Ambassador today Need to hold Iran accountable for the deaths of US Military personnel and spreading terrorism around the globe ,"BullShit DevinNunes concentrate on that shit Mueller amp RodRosenstein Pulling disgracing American CongressampSenate GOP realDonaldTrump ""Dont pull that shit that Iran Spreading Terrorism when General Dempsey said KingSalman amp netanyahu ArmsampFunds ISISAlQaeda"" Shame On YOU ",1
Quote,Iran Deal,"Susan Rice slams ""wrecking ball"" Trump for leaving Iran deal ",Anyone care what this confirmed liar thinks Anyone ,2
Quote,Iran Deal,This hasn’t gotten enough attention The chief of staff of the Israeli Defense Forces says the Iran deal was working ,realDonaldTrump the fake illegitimate POTUS worst president ever ,6
Quote,Iran Deal,Iranian Quds force fired 20 rockets towards forward IDF positions on Golan Heights Several rockets intercepted No Israeli casualties The IDF views this Iranian attack with severity More to follow ,Such good fabricators Lie about Iran nuke program Get Trump to violate the agreement Blame an attack on Iranian forces ,1
Quote,Iran Deal,Another obama LIE he did tie the release of four hostages to the Iran Deal bc it wasnt until he sent BILLIONS of tax payer to Iran after signing Iran Deal that Iran released the hostages friday feeling obama legacy cnn ms nbc ,,6
Quote,Iran Deal,"Iranian backed media claiming Syrian Christians are opposed 2 striking Assad 4 use of Chemical ""because he protects them"" Assad regime killed 130000 Christians in Lebanon assassinated their leaders amp occupied their country Many still in his jails Iran axis is also ""Jihadist"" ",You damn liar bless Assad and Iran 🌸🌸 ,1
Quote,Iran Deal,The US Justice Department has joined 2 other agencies probing Huawei for possible violations of sanctions banning sales to Iran sources say tictoc news ,Bullshit ,1
Quote,Iran Deal,Wow this tweet is total BS ,,1
Quote,Santa Fe Shooting,The sole reason I joined was because of false attacks on the NRA ,,3
Quote,Santa Fe Shooting,And this is exactly the kind of trash coming from the left Calling for violence over made up shit they got from Fake News or reading their lib friends fake FacebookTwitter stories Justifying their sick violence any way they can liberalism is amental disorder ,,1
Quote,Santa Fe Shooting,You have it all wrong people kill not guns ,,1
Quote,Santa Fe Shooting,There are so many things wrong here ,,6
Quote,General Terms,Girls who are genuinely kind and dont try to compete with every girl they come in contact with because they’re not intimidated or insecure are my kinda girls wya Let’s be friends ,New Laura take note hun after them lie detector questions love i sand ,6
Quote,General Terms,Jack and Laura already knew eachother looool love island ,Loooool everything about it is so fake this year ,1
Quote,General Terms,The Ball Bros scored 101 of the teams 130 points in their latest JBA game Video proof ,Im a fan of the Ball family but I cant support what Melo and Gelo are doing for their team if there even is one All the league is trying to do is showcase both of them but stats wont lie theyre playing horrible ,6
Quote,General Terms,President Rouhani had earlier threatened ‘America must understand well that war with Iran is the mother of all wars’ ,"The ellipsis in your headline includes the section that refers to ""the mother of all peace"" please dont try to justifyamplify that unhinged ""potus"" rant and mislead your readership for clicks ",1
Quote,General Terms,Fact Kirbopher has traveled back in time before He just make sure everyone forgets about it ,FALSE If I could do this I wouldve gone back to erase brawl taunts P ,1
Quote,General Terms,"Im sick of Trump repeating the ""13 Angry Democrats are after me"" lie Mueller is a Republican Rosenstein is a Republican Comey was a Republican Theres no ""liberal conspiracy"" going on Trump is just a criminal ",13 angry democracy are the lawyers that work for Mueller witch is a fact not a lie but i understand spreading fake news is part a liberal agenda but I had no idea trump derangement syndrome would spread so fast lol witch hunt ,1
Quote,General Terms,How amazing it is to find someone who wants to hear about all the things that go on in your head ,How amazing when you find out it was all a lie 🙂 ,2
Quote,General Terms,He didnt lie this time which is an exception He was manipulated like a 2nd grader ,,1
Quote,Iran Deal,This poll is fake ,,1
Quote,Iran Deal,Sorry I wasn’t asked Where was this poll taken FAKE POLL ,,1
Quote,Iran Deal,In other words lying about the existence of a WMD program ,,3
Quote,Iran Deal,Oh man CNN now reporting that he administration is saying Iran is on the cusp of invading Israel ,Lying propaganda ,1
Quote,Santa Fe Shooting,BREAKING SpeakerRyan is about to have high schoolers arrested protesting outside of his office for gun reform now maybe he should just meet with them What’s he so afraid of Oh the NRA ,Please say this isnt true ,5
Quote,Santa Fe Shooting,VP amp realDonaldTrump Your level of cynicism amp lies is disgusting never again texas strong We need march for our lives movement now more than ever ,,1
Quote,Santa Fe Shooting,RT gun control Theres been school shooting EVERY WEEK in 2018 Santa Fe Palmdale Ocala Raytown Gloversville Lexington Park Seaside Mobile Birmingham Jackson Mount Pleasant Norfolk Itta Bena Savannah Parkland Nashville Oxon Hill Los Angeles Philadelphia Benton Italy Winston Salem ,Its just like the crash after GOP snorted up survival benefits Suicide rates probably coincide 1974 bullshit to 1984 blowback ,3
Quote,Santa Fe Shooting,This one’s still up as well Please correct this lie ,,1
Quote,Iran Deal,The Revolutionary Guards Quds Force is charged with arming proxies across the Middle East and even the world – and is behind a number of past attempts to hit Israel ,"This is fake news . The Syrians just ""retaliated"" for continued israeli aggression bombings in Syria and they hit Israeli targets in the OCCUPIED go lan Heights ",1
Quote,Iran Deal,Europe Claims It Will Salvage the Iran Deal But It Cant ,There is no deal ,3
Quote,Student Marches,NRA acknowledges it received foreign donations but denies any is used in coordination with elections ,Yeah Im going to go ahead and call bullshit on this one ,1
Quote,Student Marches,The NRA is losing and they know it ,Public service announcement Pervert George Takei is also Lying George Takei ,1
Quote,Student Marches,San Antonio Spurs head coach Gregg Popovich sounds off on Second Amendment after loss ,Popovich is in the wrong state for popping off with comments like this Lets blast the San Antonio Spurs twitter spurs with our thoughts He needs to stick to coaching and stay the hell out of politics ,2
Quote,General Terms,Im so sorry to the people I offended that was NEVER my intention my intention was to inform on what the actual history is iIm sorry I wasted your time amp I am truly sorry for hurting ppl who dont deserve it please unfollow me and tell everyone what I said spread awareness ,“actual history” are you getting your knowledge from trumps asshole or change your icon and unstan chris because he would never stand for the bullshit you’re spreading chris would be ashamed to have you as a “fan” lmao ,1
Quote,General Terms,JUST IN Miami Dolphins may suspend players who protest during anthem report ,That is such bullshit Ever hear of freedom of expression ,2
Quote,General Terms,The lamest generation I can’t teach millennials – they refuse to take any responsibility for their learning says an assistant professor ,This is patently false I am a millennial who has taught millennials Many of the students of this generation are extremely high achieving—many of them double majors taking graduatelevel courses seeking out research opportunities etc—and they only get more ambitious ,1
Quote,General Terms,You lie No get out of here with your negative energy ,,1
Quote,Santa Fe Shooting,"Heartbreaking moment as Santa Fe High School student is asked if she thought a shooting would not happen at her school ""Its been happening everywhere Ive always kind of felt like eventually it was going to happen here too"" ",I wonder what seanhannity infowars GOP NRA going to call her They will probably call her a liar or an actor or go balls out and say the shooting was a propaganda ,6
Quote,Santa Fe Shooting,i cried watching this this is bullshit this is insanity and it needs to end ,,6
Quote,Santa Fe Shooting,This is just wrong this is why automatic and semiautomatic weapons should be illegal The fact she wasnt surprised it happened in her school shows that this IS the culture now children in US got to school thinking there is a chance that theyre going to be shot at ,,6
Quote,Santa Fe Shooting,You are an unbelievable piece of shit Using PPFA in some sick false equivalency I cant wish enough evil upon you ,,1
Quote,Santa Fe Shooting,THIS IS INFURIATING How many BS theories by NRA lackeys do we have to listen to before our elected officials acknowledge that THE PROBLEM IS GUNS Period ,,6
Quote,Santa Fe Shooting,Facts talk Bullshit walks ,,6
Quote,Santa Fe Shooting,Poll Shows Parkland Gun Control Push Had Little Lasting Impact On Public Opinion ,they are wrong a lot of us will not vote for anyone that takes money from NRA Wait till NOV ,1
Quote,Santa Fe Shooting,Tomi Lahren gets water thrown at her and the president sends out a tweet of sympathy and support But didnt tweet out a sympathy for the 10 dead children or their families in SantaFe school shooting ,You just explained what is wrong with our societywhen its acceptable to show no respect for others and you excuse the behavior by attacking those that dont agree with you You and your bent liberal view has turned our young boysmenmale into confusedangry killing machines ,1
Quote,Santa Fe Shooting,Totally Bogus ,,1
Quote,General Terms,A good politician cant sleep because of the plight of his people A BJPian cant sleep because his conscience wont let him ,smritiirani mam this person is spreading fake news that BJP people have conscience Pls take action ,3
Quote,General Terms,"How old were you when you found out its ""Ring around the Rosie"" and not ""Ringa ringa roses"" I was todays years old ",you lying girl ,1
Quote,General Terms,The ONS claimant count figures show unemployment is disproportionately affecting my constituency Govt must pause amp fix problems with uc . ,uc was the dream of IDS there is no end to the cruelty of these career polititians that wish to cause others harm hence his backing of Brexit ,6
Quote,General Terms,It’s tragic that the EU UN amp NATO were all created to prevent events that caused WW2 from being repeated yet when confronted by br exit trump Middle East destabilising amp the State of Israel especially Israel Some Jews throw the antiSemite card at any scrutiny towards Israel ,How can they not see that they are on the wrong side of history this time They are the enemy in this conflict amp not the victim ,3
Quote,General Terms,My TRUTH ,Whether we like it or not there is fake news put out by wannabe journalists As a result good people have to unnecessarily defend themselves while amateurs vomit out their clickbait stories ,6
